i    j    k    brain       skull       skin        outside     
2    11   15   1.000000    0.000000    0.000000    0.000000    
2    11   16   1.000000    0.000000    0.000000    0.000000    
2    11   17   1.000000    0.000000    0.000000    0.000000    
2    11   18   1.000000    0.000000    0.000000    0.000000    
2    11   19   1.000000    0.000000    0.000000    0.000000    
2    11   20   0.991211    0.008789    0.000000    0.000000    
2    11   22   0.346191    0.277344    0.235840    0.140625    
2    11   21   0.791992    0.175293    0.032715    0.000000    
2    11   23   0.016113    0.135742    0.247559    0.600586    
2    11   24   0.000000    0.000000    0.015625    0.984375    
2    12   7    0.000000    0.019531    0.115723    0.864746    
2    12   9    0.621582    0.250488    0.118652    0.009277    
2    12   10   0.973145    0.026855    0.000000    0.000000    
2    12   8    0.154785    0.261230    0.274902    0.309082    
2    12   12   1.000000    0.000000    0.000000    0.000000    
2    12   13   1.000000    0.000000    0.000000    0.000000    
2    12   11   1.000000    0.000000    0.000000    0.000000    
2    12   14   1.000000    0.000000    0.000000    0.000000    
2    12   15   1.000000    0.000000    0.000000    0.000000    
2    12   18   1.000000    0.000000    0.000000    0.000000    
2    12   17   1.000000    0.000000    0.000000    0.000000    
2    12   20   1.000000    0.000000    0.000000    0.000000    
2    12   19   1.000000    0.000000    0.000000    0.000000    
2    12   16   1.000000    0.000000    0.000000    0.000000    
2    12   21   0.974609    0.025391    0.000000    0.000000    
2    12   22   0.657227    0.231445    0.106934    0.004395    
2    12   23   0.172363    0.235840    0.277344    0.314453    
2    12   24   0.000000    0.018555    0.113770    0.867676    
2    13   9    0.850098    0.140137    0.009766    0.000000    
2    13   7    0.008789    0.104004    0.195312    0.691895    
2    13   6    0.000000    0.000000    0.001465    0.998535    
2    13   10   1.000000    0.000000    0.000000    0.000000    
2    13   11   1.000000    0.000000    0.000000    0.000000    
2    13   15   1.000000    0.000000    0.000000    0.000000    
2    13   17   1.000000    0.000000    0.000000    0.000000    
2    13   16   1.000000    0.000000    0.000000    0.000000    
2    13   19   1.000000    0.000000    0.000000    0.000000    
2    13   12   1.000000    0.000000    0.000000    0.000000    
2    13   8    0.367188    0.258301    0.236328    0.138184    
2    13   20   1.000000    0.000000    0.000000    0.000000    
2    13   21   1.000000    0.000000    0.000000    0.000000    
2    13   14   1.000000    0.000000    0.000000    0.000000    
2    13   24   0.010254    0.108398    0.197754    0.683594    
2    13   23   0.377441    0.273926    0.228027    0.120605    
2    13   13   1.000000    0.000000    0.000000    0.000000    
2    13   18   1.000000    0.000000    0.000000    0.000000    
2    13   22   0.839355    0.147461    0.013184    0.000000    
2    14   7    0.049316    0.162109    0.276367    0.512207    
